sample_name	sample_id	experiment_id	lineage_name	time	replicate	dilution	well_status	row_name	col_name	CPE_full
Alpha_T0_1	1	1	Alpha	0	1	-2	TRUE	B	col1	TRUE
Alpha_T0_1	1	1	Alpha	0	1	-2	TRUE	B	col2	TRUE
Alpha_T0_1	1	1	Alpha	0	1	-2	TRUE	B	col3	TRUE
Alpha_T0_1	1	1	Alpha	0	1	-2	TRUE	B	col4	TRUE
Alpha_T0_1	1	1	Alpha	0	1	-3	TRUE	C	col1	TRUE
Alpha_T0_1	1	1	Alpha	0	1	-3	TRUE	C	col2	TRUE
Alpha_T0_1	1	1	Alpha	0	1	-3	TRUE	C	col3	TRUE
Alpha_T0_1	1	1	Alpha	0	1	-3	TRUE	C	col4	TRUE
Alpha_T0_1	1	1	Alpha	0	1	-4	FALSE	D	col1	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-4	TRUE	D	col2	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-4	FALSE	D	col3	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-4	FALSE	D	col4	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-5	TRUE	E	col1	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-5	FALSE	E	col2	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-5	FALSE	E	col3	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-5	FALSE	E	col4	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-6	FALSE	F	col1	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-6	FALSE	F	col2	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-6	FALSE	F	col3	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-6	FALSE	F	col4	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-7	FALSE	G	col1	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-7	FALSE	G	col2	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-7	FALSE	G	col3	FALSE
Alpha_T0_1	1	1	Alpha	0	1	-7	FALSE	G	col4	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-3	TRUE	C	col1	TRUE
Alpha_T0_2	2	1	Alpha	0	2	-3	TRUE	C	col2	TRUE
Alpha_T0_2	2	1	Alpha	0	2	-3	TRUE	C	col3	TRUE
Alpha_T0_2	2	1	Alpha	0	2	-3	TRUE	C	col4	TRUE
Alpha_T0_2	2	1	Alpha	0	2	-4	TRUE	D	col1	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-4	FALSE	D	col2	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-4	FALSE	D	col3	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-4	TRUE	D	col4	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-5	FALSE	E	col1	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-5	TRUE	E	col2	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-5	FALSE	E	col3	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-5	FALSE	E	col4	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-6	FALSE	F	col1	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-6	FALSE	F	col2	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-6	FALSE	F	col3	FALSE
Alpha_T0_2	2	1	Alpha	0	2	-6	FALSE	F	col4	FALSE
