"xp";"virus";"lineage";"treatment";"material";"temperature";"humidity";"cell";"time";"dilution";"replicate";"replicate_titration";"virus_detect";"plate";"well_row";"well_col";"comment";"sample_id"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"0";1;"1";1;"PLATE 1";"A";"1";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-4";1;"1";1;"PLATE 1";"E";"1";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-7";1;"1";0;"PLATE 1";"H";"1";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-6";1;"1";0;"PLATE 1";"G";"1";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-5";1;"1";1;"PLATE 1";"F";"1";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-3";1;"1";1;"PLATE 1";"D";"1";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-2";1;"1";1;"PLATE 1";"C";"1";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-1";1;"1";1;"PLATE 1";"B";"1";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-4";1;"1";0;"PLATE 1";"E";"10";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"0";1;"1";1;"PLATE 1";"A";"10";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-5";1;"1";0;"PLATE 1";"F";"10";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-3";1;"1";0;"PLATE 1";"D";"10";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-2";1;"1";0;"PLATE 1";"C";"10";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-6";1;"1";0;"PLATE 1";"G";"10";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-1";1;"1";1;"PLATE 1";"B";"10";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-7";1;"1";0;"PLATE 1";"H";"10";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-5";1;"1";0;"PLATE 1";"F";"11";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-4";1;"1";0;"PLATE 1";"E";"11";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-1";1;"1";0;"PLATE 1";"B";"11";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"0";1;"1";1;"PLATE 1";"A";"11";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-3";1;"1";0;"PLATE 1";"D";"11";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-2";1;"1";0;"PLATE 1";"C";"11";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-6";1;"1";0;"PLATE 1";"G";"11";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-7";1;"1";0;"PLATE 1";"H";"11";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-6";1;"1";0;"PLATE 1";"G";"12";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
