"xp";"sample_id";"virus";"lineage";"treatment";"material";"temperature";"humidity";"time";"dilution";"replicate";"replicate_PCR";"target";"CT_threshold";"CT";"quantity_per_10ml";"quantity_per_ml";"well";"comment"
"2021-03-24";"WA1_1_-1";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"-1";NA;1;1;"E";0.812000234078541;14.7936935424805;17142554;1223978355.6;1;"negative time corresponds to inoculum, temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_1_0";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"0";NA;1;1;"E";0.812000234078541;26.0588932037354;7595.197265625;54229.7084765625;2;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_1_3";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"3";NA;1;1;"E";0.812000234078541;27.1494159698486;3596.6767578125;25680.2720507813;3;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_2_-1";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"-1";NA;2;1;"E";0.812000234078541;14.7715921401978;17404232;1242662164.8;4;"negative time corresponds to inoculum, temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_2_0";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"0";NA;2;1;"E";0.812000234078541;25.6352233886719;10154.564453125;72503.5901953125;5;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_2_3";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"3";NA;2;1;"E";0.812000234078541;26.7848262786865;4617.810546875;32971.1673046875;6;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_3_-1";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"-1";NA;3;1;"E";0.812000234078541;15.0940771102905;13952574;996213783.6;7;"negative time corresponds to inoculum, temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_3_0";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"0";NA;3;1;"E";0.812000234078541;24.9573383331299;16160.7255859375;115387.580683594;8;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_3_3";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"3";NA;3;1;"E";0.812000234078541;26.5569725036621;5398.41015625;38544.648515625;9;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_4_-1";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"-1";NA;4;1;"E";0.337889886234222;14.3699569702148;8544021;610043099.4;10;"negative time corresponds to inoculum, temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_4_0";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"0";NA;4;1;"E";0.337889886234222;26.1437225341797;3035.87060546875;21676.1161230469;11;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_4_8";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"8";NA;4;1;"E";0.337889886234222;27.2746162414551;1415.6748046875;10107.9181054688;12;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_5_-1";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"-1";NA;5;1;"E";0.337889886234222;15.1745853424072;4965112;354508996.8;13;"negative time corresponds to inoculum, temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_5_0";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"0";NA;5;1;"E";0.337889886234222;26.2390060424805;2846.87182617188;20326.6648388672;14;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_5_8";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"8";NA;5;1;"E";0.337889886234222;27.8839569091797;938.52099609375;6701.03991210938;15;"temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_6_-1";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"-1";NA;6;1;"E";0.337889886234222;14.3957233428955;8396794;599531091.6;16;"negative time corresponds to inoculum, temperature in Celsius, huminity in relative humidity, time in hours"
"2021-03-24";"WA1_6_0";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"0";NA;6;1;"E";0.337889886234222;26.0293159484863;3279.45092773438;23415.2796240234;17;"temperature in Celsius, huminity in relative humidity, time in hours"
