variant_display_name	cell	med	q025	q975	formatted_hl
Omicron (B.1.1.529)	Vero_E6	1.2492221462651112	0.8880910452088158	1.8693392721907642	1.25 [0.888, 1.87]
Delta (B.1.617.2)	Vero-TMPRSSII-RML	1.7447426387976233	1.3616123904638895	2.385812707425742	1.74 [1.36, 2.39]
Delta (B.1.617.2)	Vero_E6	1.8462159476927296	1.5287197220991984	2.2907913361716195	1.85 [1.53, 2.29]
Delta (B.1.617.2)	Vero_E6-TMPRSS2-T2A-ACE2	1.2278756039995362	1.0255202440953515	1.5119019152696938	1.23 [1.03, 1.51]
Beta (B.1.351)	Vero-TMPRSSII-RML	2.0871984823496588	1.5731475222657725	3.194627957309295	2.09 [1.57, 3.19]
Beta (B.1.351)	Vero_E6	2.333875298733079	1.8304187411011903	3.160821389557353	2.33 [1.83, 3.16]
Beta (B.1.351)	Vero_E6-TMPRSS2-T2A-ACE2	2.558451478547786	1.8352759853003	4.333361946969631	2.56 [1.84, 4.33]
Alpha (B.1.1.7)	Vero-TMPRSSII-RML	2.4083293728035837	1.7079446633864652	3.955320001175664	2.41 [1.71, 3.96]
Alpha (B.1.1.7)	Vero_E6	2.4079482457545356	1.7525690827808917	3.5273931700834353	2.41 [1.75, 3.53]
Alpha (B.1.1.7)	Vero_E6-TMPRSS2-T2A-ACE2	2.717129968151565	1.883678594499276	4.8779450538372195	2.72 [1.88, 4.88]
B.1	Vero-TMPRSSII-RML	2.4534763589193966	1.7113818629415096	4.401904699703606	2.45 [1.71, 4.4]
B.1	Vero_E6	1.9256003747890285	1.5886877496123002	2.480400922979822	1.93 [1.59, 2.48]
B.1	Vero_E6-TMPRSS2-T2A-ACE2	1.977591594714465	1.4966768065494298	2.974632031641658	1.98 [1.5, 2.97]
WA1	Vero-TMPRSSII-RML	1.7766650782298632	1.4590642919797117	2.238106028966866	1.78 [1.46, 2.24]
WA1	Vero_E6	1.5421638801110116	1.299830325498853	1.8567376957268624	1.54 [1.3, 1.86]
WA1	Vero_E6-TMPRSS2-T2A-ACE2	1.5437708943936608	1.2779541836652533	1.938441687920396	1.54 [1.28, 1.94]
