variant_display_name	cell	med_diff	q025_diff	q975_diff	med_fold_change	q025_fold_change	q975_fold_change	formatted_fold_change
Omicron (B.1.1.529)	Vero_E6	-0.29443635244654265	-0.7658139392039985	0.3386921044967776	0.8088881834152741	0.5519059123767391	1.2360302663340788	0.809 [0.552, 1.24]
Delta (B.1.617.2)	Vero-TMPRSSII-RML	-0.025037888387011487	-0.6219809612630918	0.662454545301913	0.9855228697849501	0.7008338462795388	1.4184767989662737	0.986 [0.701, 1.42]
Delta (B.1.617.2)	Vero_E6	0.308510283562202	-0.12655508365932774	0.8015038176039546	1.2006759745632936	0.926610881145899	1.5762300369171869	1.2 [0.927, 1.58]
Delta (B.1.617.2)	Vero_E6-TMPRSS2-T2A-ACE2	-0.3173732876867904	-0.7449456595338153	0.07414691397209201	0.7927579750775994	0.5996860403011375	1.0509371137209085	0.793 [0.6, 1.05]
Beta (B.1.351)	Vero-TMPRSSII-RML	0.3144877137872406	-0.38334879193531224	1.4057262036682636	1.1769526605061824	0.809967547565316	1.8420863802905063	1.18 [0.81, 1.84]
Beta (B.1.351)	Vero_E6	0.7858430012869715	0.20040838007666512	1.639367616755743	1.5133599460379419	1.118700905697974	2.151530408166682	1.51 [1.12, 2.15]
Beta (B.1.351)	Vero_E6-TMPRSS2-T2A-ACE2	1.0112892684224586	0.16527535321790815	2.7505086393222067	1.6587500815535652	1.0913509368226788	2.859094452389626	1.66 [1.09, 2.86]
Alpha (B.1.1.7)	Vero-TMPRSSII-RML	0.6218507687583297	-0.23343955721746343	2.195972115585321	1.3501520048250841	0.8862759804819553	2.3275584505564444	1.35 [0.886, 2.33]
Alpha (B.1.1.7)	Vero_E6	0.8725646770396353	0.13971112574541827	1.9961014543105895	1.5667036427797174	1.080259310193716	2.365385493722063	1.57 [1.08, 2.37]
Alpha (B.1.1.7)	Vero_E6-TMPRSS2-T2A-ACE2	1.162427402215002	0.24013932624174578	3.364350978305441	1.7555935984760729	1.1358941194357366	3.2739799288112565	1.76 [1.14, 3.27]
B.1	Vero-TMPRSSII-RML	0.6759780724797743	-0.20785197220612456	2.5887516472135226	1.3825460547165838	0.8925939978207403	2.5215809728842484	1.38 [0.893, 2.52]
B.1	Vero_E6	0.38693396321329154	-0.08099368653954472	0.993055858995017	1.2519097126271324	0.9523681700168597	1.702687675400432	1.25 [0.952, 1.7]
B.1	Vero_E6-TMPRSS2-T2A-ACE2	0.42425511185890985	-0.19161634654223028	1.4463983907150957	1.275345260858499	0.8955144037358995	1.9737812441816338	1.28 [0.896, 1.97]
WA1	Vero-TMPRSSII-RML	0	0	0	1	1	1	1 [1, 1]
WA1	Vero_E6	0	0	0	1	1	1	1 [1, 1]
WA1	Vero_E6-TMPRSS2-T2A-ACE2	0	0	0	1	1	1	1 [1, 1]
